dict_type,code,name,value,parent_code,sort_order,is_active,remark
DEPT,DEPT001,公路市政设计院,公路市政设计院,,1,true,
DEPT,DEPT002,智能交通设计院,智能交通设计院,,2,true,
DEPT,DEPT003,规划建筑设计院,规划建筑设计院,,3,true,
DEPT,DEPT004,智慧建设事业部,智慧建设事业部,,4,true,
DEPT,DEPT005,绿色低碳技术中心,绿色低碳技术中心,,5,true,
DEPT,DEPT006,咨询审查部,咨询审查部,,6,true,
DEPT,DEPT007,市场开发部,市场开发部,,7,true,
DEPT,DEPT008,数智技术研究院,数智技术研究院,,8,true,
ORG,ORG001,中咨集团总部,中咨集团总部,,1,true,
ORG,ORG002,华科公司总部,华科公司总部,,2,true,
ORG,ORG003,HK项目管理中心（华科公司管理）,HK项目管理中心（华科公司管理）,,3,true,
ORG,ORG004,北京第二分公司总部,北京第二分公司总部,,4,true,
ORG,ORG005,中国公路工程咨询集团有限公司三亚道路修复工程项目经理部,中国公路工程咨询集团有限公司三亚道路修复工程项目经理部,,5,true,
ORG,ORG006,海南分公司HKHN项目管理中心,海南分公司HKHN项目管理中心,,6,true,
ORG,ORG007,海南项目部,海南项目部,,7,true,
ORG,ORG008,泉厦漳联盟路,泉厦漳联盟路,,8,true,
ORG,ORG009,环热带雨林国家公园旅游公路TJLM12标段项目,环热带雨林国家公园旅游公路TJLM12标段项目,,9,true,
ORG,ORG010,武汉特桥分公司总部,武汉特桥分公司总部,,10,true,
ORG,ORG011,G25何官项目部,G25何官项目部,,11,true,
ORG,ORG012,白沙快速出口路工程总承包项目,白沙快速出口路工程总承包项目,,12,true,
ORG,ORG013,海南海榆东线改线总承包项目部,海南海榆东线改线总承包项目部,,13,true,
ORG,ORG014,成都恒安置业有限公司,成都恒安置业有限公司,,14,true,
ORG,ORG015,中国公路工程咨询集团有限公司三亚养护管理项目经理部,中国公路工程咨询集团有限公司三亚养护管理项目经理部,,15,true,
ORG,ORG016,矿山项目部,矿山项目部,,16,true,
ORG,ORG017,海口绕城,海口绕城,,17,true,
ORG,ORG018,中国公路工程咨询集团有限公司海南省环岛旅游公路工程第五工区项目部,中国公路工程咨询集团有限公司海南省环岛旅游公路工程第五工区项目部,,18,true,
ORG,ORG019,市政事业部（城规院）总部,市政事业部（城规院）总部,,19,true,
ORG,ORG020,湖州市南太湖银山一路交安及机电工程项目经理部,湖州市南太湖银山一路交安及机电工程项目经理部,,20,true,
ORG,ORG021,G309线合水（老城）至西峰段施工总承包项目（生产运营管理部管理）,G309线合水（老城）至西峰段施工总承包项目（生产运营管理部管理）,,21,true,
ORG,ORG022,海南省文昌市铺前大桥项目管理承包（PMC）,海南省文昌市铺前大桥项目管理承包（PMC）,,22,true,
ORG,ORG023,海南省红沙隧道设计施工总承包项目,海南省红沙隧道设计施工总承包项目,,23,true,
ORG,ORG024,中咨集团广东外语外贸大学黄埔研究院建设项目EPC总承包项目部（建设事业部管理）,中咨集团广东外语外贸大学黄埔研究院建设项目EPC总承包项目部（建设事业部管理）,,24,true,
ORG,ORG025,交通工程信息技术分公司,交通工程信息技术分公司,,25,true,
PROVINCE,110000,北京市,110000,,1,true,
PROVINCE,120000,天津市,120000,,2,true,
PROVINCE,130000,河北省,130000,,3,true,
PROVINCE,130100,雄安新区,130100,,4,true,
PROVINCE,140000,山西省,140000,,5,true,
PROVINCE,150000,内蒙古自治区,150000,,6,true,
PROVINCE,210000,辽宁省,210000,,7,true,
PROVINCE,220000,吉林省,220000,,8,true,
PROVINCE,230000,黑龙江省,230000,,9,true,
PROVINCE,310000,上海市,310000,,10,true,
PROVINCE,320000,江苏省,320000,,11,true,
PROVINCE,330000,浙江省,330000,,12,true,
PROVINCE,340000,安徽省,340000,,13,true,
PROVINCE,350000,福建省,350000,,14,true,
PROVINCE,360000,江西省,360000,,15,true,
PROVINCE,370000,山东省,370000,,16,true,
PROVINCE,410000,河南省,410000,,17,true,
PROVINCE,420000,湖北省,420000,,18,true,
PROVINCE,430000,湖南省,430000,,19,true,
PROVINCE,440000,广东省,440000,,20,true,
PROVINCE,450000,广西壮族自治区,450000,,21,true,
PROVINCE,460000,海南省,460000,,22,true,
PROVINCE,500000,重庆市,500000,,23,true,
PROVINCE,510000,四川省,510000,,24,true,
PROVINCE,520000,贵州省,520000,,25,true,
PROVINCE,530000,云南省,530000,,26,true,
PROVINCE,540000,西藏自治区,540000,,27,true,
PROVINCE,610000,陕西省,610000,,28,true,
PROVINCE,620000,甘肃省,620000,,29,true,
PROVINCE,630000,青海省,630000,,30,true,
PROVINCE,640000,宁夏回族自治区,640000,,31,true,
PROVINCE,650000,新疆维吾尔自治区,650000,,32,true,
PROVINCE,710000,台湾省,710000,,33,true,
PROVINCE,810000,香港特别行政区,810000,,34,true,
PROVINCE,820000,澳门特别行政区,820000,,35,true,
PROVINCE,900000,海外,900000,,36,true,
BUSINESS_UNIT,BU001,公路勘察设计,公路勘察设计,,1,true,
BUSINESS_UNIT,BU002,智能交通设计,智能交通设计,,2,true,
BUSINESS_UNIT,BU003,市政设计,市政设计,,3,true,
BUSINESS_UNIT,BU004,技术咨询服务,技术咨询服务,,4,true,
BUSINESS_UNIT,BU005,数智信息化服务,数智信息化服务,,5,true,
BUSINESS_UNIT,BU006,智能交通施工,智能交通施工,,6,true,
BUSINESS_UNIT,BU007,公路主体施工,公路主体施工,,7,true,
BUSINESS_UNIT,BU008,房屋建筑工程施工,房屋建筑工程施工,,8,true,
BUSINESS_UNIT,BU009,项目管理及代建,项目管理及代建,,9,true,
BUSINESS_UNIT,BU010,建设板块,建设板块,,10,true,
BUSINESS_UNIT,BU011,房屋建筑工程设计服务,房屋建筑工程设计服务,,11,true,
BUSINESS_UNIT,BU012,市政施工,市政施工,,12,true,
BUSINESS_UNIT,BU013,养护板块,养护板块,,13,true,
BUSINESS_UNIT,BU014,生态环保板块,生态环保板块,,14,true,
BUSINESS_UNIT,BU015,投资板块,投资板块,,15,true,
BUSINESS_UNIT,BU016,房地产板块,房地产板块,,16,true,
BUSINESS_UNIT,BU017,海外板块,海外板块,,17,true,
BUSINESS_UNIT,BU018,其他板块,其他板块,,18,true,
PROJECT_TYPE,PT001,工程技术与设计服务类,工程技术与设计服务类,,1,true,
PROJECT_TYPE,PT002,施工总承包工程,施工总承包工程,,2,true,
PROJECT_TYPE,PT003,设计采购施工总承包工程（EPC）,设计采购施工总承包工程（EPC）,,3,true,
PROJECT_TYPE,PT004,设计采购施工管理（EPCM）,设计采购施工管理（EPCM）,,4,true,
PROJECT_TYPE,PT005,采购施工总承包工程（PC）,采购施工总承包工程（PC）,,5,true,
PROJECT_TYPE,PT006,设计施工总承包工程（DB）,设计施工总承包工程（DB）,,6,true,
PROJECT_TYPE,PT007,收并购,收并购,,7,true,
PROJECT_TYPE,PT008,准经营性,准经营性,,8,true,
PROJECT_TYPE,PT009,非经营性,非经营性,,9,true,
PROJECT_TYPE,PT010,路基,路基,,10,true,
PROJECT_TYPE,PT011,城乡规划设计管理,城乡规划设计管理,,11,true,
PROJECT_TYPE,PT012,其他公路工程,其他公路工程,,12,true,
PROJECT_TYPE,PT013,其他,其他,,13,true,
ORG_MODE,OM001,总项目,总项目,,1,true,
ORG_MODE,OM002,分项目,分项目,OM001,2,true,
ORG_MODE,OM003,单体项目（非专业分包）,单体项目（非专业分包）,OM002,3,true,
ORG_MODE,OM004,单体项目（专业分包）,单体项目（专业分包）,OM002,4,true,
ORG_MODE,OM005,其他,其他,,5,true,
DATA_STATUS,ENABLED,启用,启用,,1,true,
DATA_STATUS,DISABLED,停用,停用,,2,true,
DATA_STATUS,INVALID,作废,作废,,3,true,
